layer,dir,fn,ingest,name_data_fld,name,units,description
cw_contamination_status,~/github/pal-scores/region/layers/cw_contamination_status.csv,cw_contamination_status.csv,TRUE,status,Soil contamination status ,scaled 0-1,Status score scaled 0-1 for contamination
cw_debris_status,~/github/ohi-global/eez/layers/cw_chemical_trend.csv,cw_debris_status.csv,TRUE,status,Marine debris status,scaled 0-1,"Status of marine debris, measured by FAD groundings"
element_wts_cp_km2_x_protection,~/github/pal-scores/region/layers/element_wts_cp_km2_x_protection.csv,element_wts_cp_km2_x_protection.csv,TRUE,extent_rank,Coastal protection weights,extent*rank_protection,Habitat extent multiplied by habitat protection rank for corals (empty dataframe filled by functions.R in pal-scores)
element_wts_cs_km2_x_storage,~/github/pal-scores/region/layers/element_wts_cs_km2_x_storage.csv,element_wts_cs_km2_x_storage.csv,TRUE,extent_rank,Carbon storage weights ,extent*carbon_storage,Habitat extent multiplied by carbon storage capacity for rainforests (empty dataframe filled by functions.R in pal-scores)
element_wts_hab_pres_abs,~/github/pal-scores/region/layers/element_wts_hab_pres_abs.csv,element_wts_hab_pres_abs.csv,TRUE,boolean,Habitat weights,0 or 1,List of habitats in each region (empty dataframe filled by functions.R in pal-scores)
hab_coral_extent,~/github/pal-scores/region/layers/hab_coral_extent.csv,hab_coral_extent.csv,TRUE,km2,Coral reef extent (area),km2,Area (km2) of coral habitat
hab_coral_status,~/github/pal-scores/region/layers/hab_coral_status.csv,hab_coral_status.csv,TRUE,status,Coral reef status ,scaled 0-1,Coral condition based on the percent of live coral cover in different reef zones
hab_coral_trend,~/github/pal-scores/region/layers/hab_coral_trend.csv,hab_coral_trend.csv,TRUE,trend,Coral reef trend,trend -1 to 1,Trend in coral condition based on Micronesia georegion
hab_rainforest_extent,~/github/pal-scores/region/layers/hab_rainforest_extent.csv,hab_rainforest_extent.csv,TRUE,km2,Rainforest extent (area),km2,Area (km2) of rainforest habitat
hab_rainforest_status,~/github/pal-scores/region/layers/hab_rainforest_status.csv,hab_rainforest_status.csv,TRUE,status,Rainforest status ,scaled 0-1,Rainforest status based on area of rainforest compared to potential area
hab_rainforest_trend,~/github/pal-scores/region/layers/hab_rainforest_trend.csv,hab_rainforest_trend.csv,TRUE,trend,Rainforest trend ,trend -1 to 1,Estimated change in  rainforest area over time
hs_carbon_storage_status,~/github/pal-scores/region/layers/hs_carbon_storage_status.csv,hs_carbon_storage_status.csv,TRUE,status,Carbon storage status,scaled 0-1,Carbon storage status based on rainforest habitats
hs_coastal_protection_status,~/github/pal-scores/region/layers/hs_coastal_protection_status.csv,hs_coastal_protection_status.csv,TRUE,status,Coastal protection status ,scaled 0-1,Coastal protection status determined by coral reef condition
ico_status,~/github/pal-scores/region/layers/lsp_inland.csv,ico_status.csv,TRUE,status,Iconic species status,scaled 0-1,Average status for iconic species by region
lsp_inland,~/github/pal-scores/region/layers/ico_status.csv,lsp_inland.csv,TRUE,status,Inland protected areas,scaled 0-1,Proportion of inland protected areas within 1km
lsp_offshore,~/github/pal-scores/region/layers/lsp_offshore.csv,lsp_offshore.csv,TRUE,status,Offshore protected areas,scaled 0-1,Proportion of marine protected areas within 3nm offshore
prs_cc_oa,~/github/pal-scores/region/layers/prs_cc_oa.csv,prs_cc_oa.csv,TRUE,pressure_score,Ocean acidification pressure,pressure score 0-1,"Pressure due to increasing ocean acidification, scaled using biological thresholds"
prs_cc_slr,~/github/pal-scores/region/layers/prs_cc_slr.csv,prs_cc_slr.csv,TRUE,pressure_score,Sea level rise pressure,pressure score 0-1,Pressure due to rising mean sea level
prs_cc_sst,~/github/pal-scores/region/layers/prs_cc_sst.csv,prs_cc_sst.csv,TRUE,pressure_score,Sea surface temperature pressure,pressure score 0-1,Pressure due to increasing extreme sea surface temperature events
prs_cc_uv,~/github/pal-scores/region/layers/prs_cc_uv.csv,prs_cc_uv.csv,TRUE,pressure_score,UV radiation pressure,pressure score 0-1,Pressure due to increasing frequency of UV anomolies
prs_fp,~/github/pal-scores/region/layers/prs_fp.csv,prs_fp.csv,TRUE,pressure_score,Fishing pressure,pressure score 0-1,Pressure due to bycatch from recreational and sustenance fishing 
prs_hd,~/github/pal-scores/region/layers/prs_hd.csv,prs_hd.csv,TRUE,pressure_score,Habitat destruction pressure,pressure score 0-1,Pressure due to habitat destruction
prs_mgmt,~/github/pal-scores/region/layers/prs_mgmt.csv,prs_mgmt.csv,TRUE,pressure_score,Management pressure,pressure score 0-1,Pressure due to lack of management of natural resources
prs_po_contamination,~/github/pal-scores/region/layers/prs_po_contamination.csv,prs_po_contamination.csv,TRUE,pressure_score,Soil contamination pressure,pressure score 0-1,Soil contamination from WWII military operations
prs_po_debris,~/github/pal-scores/region/layers/prs_po_debris.csv,prs_po_debris.csv,TRUE,pressure_score,Marine debris pressure,pressure score 0-1,Marine debris pollution from grounded Fishing Aggregration Devices (FADs)
prs_sp_alien,~/github/pal-scores/region/layers/prs_sp_alien.csv,prs_sp_alien.csv,TRUE,pressure_score,Alien species pressure ,pressure score 0-1,Measure of harmful invasive species
rao_status,~/github/pal-scores/region/layers/rao_status.csv,rao_status.csv,TRUE,status,Resource access opportunities status ,status 0-1,Measure of access to recreational fishing opportunities
res_cc_mgmt,~/github/pal-scores/region/layers/res_cc_mgmt.csv,res_cc_mgmt.csv,TRUE,resilience_score,Climate change management ,resilience score 0-1,Measure of resilience from cimate change management plans
res_eco_spp_diversity,~/github/pal-scores/region/layers/res_eco_spp_diversity.csv,res_eco_spp_diversity.csv,TRUE,resilience_score,Ecosystem diversity,resilience score 0-1,Marine species condition (same calculation and data as the species subgoal status score)  calculated within  50 nm of shoreline as a proxy for ecological integrity
res_fp_mgmt,~/github/pal-scores/region/layers/res_fp_mgmt.csv,res_fp_mgmt.csv,TRUE,resilience_score,Fishing management ,resilience score 0-1,Estimated resilience to fishing pressure based on monitoring and effectiveness of offshore management plans
res_fp_reg,~/github/pal-scores/region/layers/res_fp_reg.csv,res_fp_reg.csv,TRUE,resilience_score,Fishing regulations,resilience score 0-1,Estimated resilience to fishing pressure based on designation of offshore protected areas
res_hd_mgmt,~/github/pal-scores/region/layers/res_hd_mgmt.csv,res_hd_mgmt.csv,TRUE,resilience_score,Habitat management ,resilience score 0-1,Estimated resilience to habitat destruction based on monitoring and effectiveness of offshore management plans
res_hd_reg,~/github/pal-scores/region/layers/res_hd_reg.csv,res_hd_reg.csv,TRUE,resilience_score,Habitat regulations,resilience score 0-1,Estimated resilience to habitat destruction based on designation of inland and offshore protected areas
res_sp_mgmt,~/github/pal-scores/region/layers/res_sp_mgmt.csv,res_sp_mgmt.csv,TRUE,resilience_score,Alien species management,resilience score 0-1,Estimated resilience to invasive species based on management plans to monitor and control invasive species
res_sp_reg,~/github/pal-scores/region/layers/res_sp_reg.csv,res_sp_reg.csv,TRUE,resilience_score,Alien species regulations,resilience score 0-1,Estimated resilience to invasive species based on regulations to prevent introduction and spread
rgn_area,~/github/pal-scores/region/layers/rgn_area.csv,rgn_area.csv,TRUE,area_km2,Area of Palmyra OHI region,km2,"Area of the Palmyra OHI region 50nm, weights used to calculate global score"
rs_employment_status,~/github/pal-scores/region/layers/rs_employment_status.csv,rs_employment_status.csv,TRUE,status,Employment status ,scaled 0-1,Number of FTE jobs on Palmyra relative to the reference point 
rs_sci_papers_status,~/github/pal-scores/region/layers/rs_sci_papers_status.csv,rs_sci_papers_status.csv,TRUE,status,Scientific papers status ,scaled 0-1,Number of scientific papers published annually relative to the reference point
spp_status,~/github/pal-scores/region/layers/spp_status.csv,spp_status.csv,TRUE,status,Species status,status 0-1,Overall measure of species extinction risk based on IUCN status of species within each region
spp_trend,~/github/pal-scores/region/layers/spp_trend.csv,spp_trend.csv,TRUE,trend_score,Species trend,trend -1 to 1,Overall measure of species extinction risk trends based on change in IUCN status of species within each region
tr_status,~/github/pal-scores/region/layers/tr_status.csv,tr_status.csv,TRUE,status,Tourism and recreation status,status 0-1,Status of tourism on Palmyra Atoll
wgi_all,~/github/ohi-global/eez/layers/wgi_all.csv,wgi_all_gl2019.csv,TRUE,resilience_score,Strength of governance,scaled 0-1,World Governance Indicators (WGI) six combined scores
