layer,goal,dimension
cw_contamination_status,CW,status
cw_contamination_status,CW,trend
cw_debris_status,CW,status
cw_debris_status,CW,trend
hab_coral_extent,CP,status
hab_coral_status,HAB,status
hab_coral_trend,HAB,trend
hab_coral_trend,CP,trend
hab_rainforest_extent,,weights
hab_rainforest_status,HAB,status
hab_rainforest_trend,HAB,trend
hab_rainforest_trend,CS,trend
hs_carbon_storage_status,CS,status
hs_coastal_protection_status,CP,status
ico_status,ICO,status
ico_status,ICO,trend
lsp_inland,LSP,status
lsp_inland,LSP,trend
lsp_offshore,LSP,status
lsp_offshore,LSP,trend
prs_cc_oa,RAO,pressure
prs_cc_oa,CP,pressure
prs_cc_oa,HAB,pressure
prs_cc_oa,ICO,pressure
prs_cc_oa,SPP,pressure
prs_cc_slr,CP,pressure
prs_cc_slr,CS,pressure
prs_cc_slr,HAB,pressure
prs_cc_slr,ICO,pressure
prs_cc_slr,LSP,pressure
prs_cc_slr,SPP,pressure
prs_cc_sst,RAO,pressure
prs_cc_sst,CP,pressure
prs_cc_sst,HAB,pressure
prs_cc_sst,ICO,pressure
prs_cc_sst,SPP,pressure
prs_cc_uv,CP,pressure
prs_cc_uv,HAB,pressure
prs_cc_uv,ICO,pressure
prs_fp,RAO,pressure
prs_fp,ICO,pressure
prs_fp,SPP,pressure
prs_hd,RAO,pressure
prs_hd,RS,pressure
prs_hd,CP,pressure
prs_hd,CS,pressure
prs_hd,HAAB,pressure
prs_hd,ICO,pressure
prs_hd,SPP,pressure
prs_hd,TR,pressure
prs_mgmt,RAO,pressure
prs_mgmt,RS,pressure
prs_mgmt,CP,pressure
prs_mgmt,CS,pressure
prs_mgmt,CW,pressure
prs_mgmt,HAB,pressure
prs_mgmt,ICO,pressure
prs_mgmt,LSP,pressure
prs_mgmt,SPP,pressure
prs_mgmt,TR,pressure
prs_po_contamination,RAO,pressure
prs_po_contamination,CP,pressure
prs_po_contamination,CS,pressure
prs_po_contamination,CW,pressure
prs_po_contamination,HAB,pressure
prs_po_contamination,ICO,pressure
prs_po_contamination,SPP,pressure
prs_po_contamination,TR,pressure
prs_po_debris,RAO,pressure
prs_po_debris,CW,pressure
prs_po_debris,ICO,pressure
prs_po_debris,SPP,pressure
prs_po_debris,TR,pressure
prs_sp_alien,RAO,pressure
prs_sp_alien,CP,pressure
prs_sp_alien,CS,pressure
prs_sp_alien,HAB,pressure
prs_sp_alien,ICO,pressure
prs_sp_alien,SPP,pressure
rao_status,RAO,status
rao_status,RAO,trend
res_cc_mgmt,CP,resilience
res_cc_mgmt,HAB,resilience
res_cc_mgmt,ICO,resilience
res_cc_mgmt,SPP,resilience
res_eco_spp_diversity,RAO,resilience
res_eco_spp_diversity,RS,resilience
res_eco_spp_diversity,CP,resilience
res_eco_spp_diversity,CS,resilience
res_eco_spp_diversity,HAB,resilience
res_eco_spp_diversity,ICO,resilience
res_fp_mgmt,RAO,resilience
res_fp_mgmt,ICO,resilience
res_fp_mgmt,SPP,resilience
res_fp_reg,RAO,resilience
res_fp_reg,ICO,resilience
res_fp_reg,SPP,resilience
res_hd_mgmt,RAO,resilience
res_hd_mgmt,RS,resilience
res_hd_mgmt,CP,resilience
res_hd_mgmt,CS,resilience
res_hd_mgmt,CW,resilience
res_hd_mgmt,HAB,resilience
res_hd_mgmt,ICO,resilience
res_hd_mgmt,LSP,resilience
res_hd_mgmt,SPP,resilience
res_hd_mgmt,TR,resilience
res_hd_reg,RS,resilience
res_hd_reg,CP,resilience
res_hd_reg,CS,resilience
res_hd_reg,HAB,resilience
res_hd_reg,ICO,resilience
res_hd_reg,SPP,resilience
rs_employment_status,RS,status
rs_employment_status,RS,trend
rs_sci_papers_status,RS,status
rs_sci_papers_status,RS,trend
spp_status,SPP,status
spp_trend,SPP,trend
tr_status,TR,status
tr_status,TR,trend
