goal,element,element_name,prs_po_contamination,prs_po_debris,sp_alien,sp_genetic,hd_subtidal_sb,hd_subtidal_hb,hd_intertidal,fp_com_hb,fp_com_lb,fp_art_lb,fp_art_hb,fp_targetharvest,cc_sst,cc_acid,cc_uv,cc_slr,ss_wgi,ss_spi
RAO,,,1,1,,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,,,,,,
CP,coral,,3,,1,,,3,,,,,,,3,1,1,2,1,1
CS,rainforest,,3,,,,,,,,,,,,,,,,,
CW,,,3,1,,,,,,,,,,,,,,,1,1
HAB,coral,,3,,1,,,3,,,,,3,,3,1,1,1,1,1
HAB,rainforest,,3,,,,,,,,,,,,,,,,,
ICO,,,2,1,1,,,2,3,2,,,2,2,1,1,,,1,1
LSP,,,,,1,,,2,3,,,,,,,,,1,1,1
SPP,,,2,1,1,1,3,2,2,3,1,1,2,1,1,1,1,,1,1
TR,,,1,1,,,,,,,,,,,,,,2,1,1
CP,mangrove,,,,,,,,,,,,,,,,,,,
CP,saltmarsh,,,,,,,,,,,,,,,,,,,
CP,seagrass,,,,,,,,,,,,,,,,,,,
CP,seaice_shoreline,,,,,,,,,,,,,,,,,,,
CS,mangrove,,,,,,,,,,,,,,,,,,,
CS,saltmarsh,,,,,,,,,,,,,,,,,,,
CS,seagrass,,,,,,,,,,,,,,,,,,,
HAB,mangrove,,,,,,,,,,,,,,,,,,,
HAB,saltmarsh,,,,,,,,,,,,,,,,,,,
HAB,seagrass,,,,,,,,,,,,,,,,,,,
HAB,seaice_edge,,,,,,,,,,,,,,,,,,,
HAB,soft_bottom,,,,,,,,,,,,,,,,,,,
