layer_name,scenario_year,data_year
cw_debris_status,2014,2014
cw_debris_status,2015,2015
cw_debris_status,2016,2016
cw_debris_status,2017,2017
cw_debris_status,2018,2018
cw_debris_status,2019,2019
cw_debris_status,2020,2019
cw_contamination_status, 2014, 2010
cw_contamination_status, 2015, 2010
cw_contamination_status, 2016, 2010
cw_contamination_status, 2017, 2010
cw_contamination_status, 2018, 2010
cw_contamination_status, 2019, 2010
cw_contamination_status, 2020, 2010
hab_coral_status,2014,2011
hab_coral_status,2015,2011
hab_coral_status,2016,2011
hab_coral_status,2017,2011
hab_coral_status,2018,2011
hab_coral_status,2019,2011
hab_coral_status,2020,2011
hab_coral_trend,2014,2012
hab_coral_trend,2015,2012
hab_coral_trend,2016,2012
hab_coral_trend,2017,2012
hab_coral_trend,2018,2012
hab_coral_trend,2019,2012
hab_coral_trend,2020,2012
hab_rainforest_status, 2014, 2019
hab_rainforest_status, 2015, 2019
hab_rainforest_status, 2016, 2019
hab_rainforest_status, 2017, 2019
hab_rainforest_status, 2018, 2019
hab_rainforest_status, 2019, 2019
hab_rainforest_status, 2020, 2019
hab_rainforest_trend, 2014, 2019
hab_rainforest_trend, 2015, 2019
hab_rainforest_trend, 2016, 2019
hab_rainforest_trend, 2017, 2019
hab_rainforest_trend, 2018, 2019
hab_rainforest_trend, 2019, 2019
hab_rainforest_trend, 2020, 2019
hs_carbon_storage_status, 2014,2016
hs_carbon_storage_status, 2015,2016
hs_carbon_storage_status, 2016,2016
hs_carbon_storage_status, 2017,2016
hs_carbon_storage_status, 2018,2016
hs_carbon_storage_status, 2019,2016
hs_carbon_storage_status, 2020,2016
hs_coastal_protection_status, 2014,2011
hs_coastal_protection_status, 2015,2011
hs_coastal_protection_status, 2016,2011
hs_coastal_protection_status, 2017,2011
hs_coastal_protection_status, 2018,2011
hs_coastal_protection_status, 2019,2011
hs_coastal_protection_status, 2020,2011
ico_status,2014,2014
ico_status,2015,2015
ico_status,2016,2016
ico_status,2017,2017
