region_id,sciname,class,common,status,year
1,Centropyge bispinosa,actinopterygii,Twospined Angelfish,0,2020
1,Centropyge flavissima,actinopterygii,Lemonpeel Angelfish,0,2020
1,Centropyge fisheri,actinopterygii,Hawaiian Flame Angelfish,0,2020
1,Pomacanthus imperator,actinopterygii,Emperor Angelfish,0,2020
1,Apolemichthys xanthopunctatus,actinopterygii,Goldspotted Angelfish,0,2020
1,Centropyge nigriocellus,actinopterygii,Blackspot Angelfish,0,2020
1,Centropyge loricula,actinopterygii,Flame Angel,0,2020
1,Chaetodon ephippium,actinopterygii,Saddle-back Butterflyfish,0,2020
1,Chaetodon auriga,actinopterygii,Threadfin Butterflyfish,0,2020
1,Chaetodon semeion,actinopterygii,Decorated Butterflyfish,0,2020
1,Chaetodon lineolatus,actinopterygii,Lined Butterflyfish,0,2020
1,Chaetodon citrinellus,actinopterygii,Speckled Butterflyfish,0,2020
1,Chaetodon trifascialis,actinopterygii,Triangulate Butterflyfish,0.2,2020
1,Chaetodon quadrimaculatus,actinopterygii,Neonbanded Butterflyfish,0,2020
1,Forcipiger longirostris,actinopterygii,Black Long-nosed Butterflyfish,0,2020
1,Hemitaurichthys thompsoni,actinopterygii,Thompson's Butterflyfish,0,2020
1,Chaetodon punctatofasciatus,actinopterygii,Spotted Belly Butterflyfish,0,2020
1,Chaetodon meyeri,actinopterygii,Scrawled Butterflyfish,0,2020
1,Chaetodon kleinii,actinopterygii,Whitespotted Butterflyfish,0,2020
1,Hemitaurichthys polylepis,actinopterygii,Brushytoothed Butterflyfish,0,2020
1,Chaetodon lunula,actinopterygii,Redstriped Butterflyfish,0,2020
1,Chaetodon ornatissimus,actinopterygii,Ornate Butterflyfish,0,2020
1,Chaetodon lunulatus,actinopterygii,Pacific Pinstriped Butterflyfish,0,2020
1,Chaetodon ulietensis,actinopterygii,Pacific Double-saddled Butterflyfish,0,2020
1,Forcipiger flavissimus,actinopterygii,Big long-nosed Butterflyfish,0,2020
1,Chaetodon unimaculatus,actinopterygii,Teardrop Butterfly Fish,0,2020
1,Chaetodon vagabundus,actinopterygii,Criss-cross Butterflyfish,0,2020
1,Heniochus acuminatus,actinopterygii,Pennant Coral Fish,0,2020
1,Euprotomicrus bispinatus,chondrichthyes,Pygmy Shark,0,2020
1,Alopias superciliosus,chondrichthyes,Bigeye Thresher,0.4,2020
1,Carcharhinus amblyrhynchos,chondrichthyes,Grey Reef Shark,0.2,2020
1,Prionace glauca,chondrichthyes,Blue Shark,0.2,2020
