sciname,score,year
Centropyge bispinosa,0,2020
Centropyge flavissima,0,2020
Centropyge fisheri,0,2020
Pomacanthus imperator,0,2020
Apolemichthys xanthopunctatus,0,2020
Centropyge nigriocellus,0,2020
Centropyge loricula,0,2020
Elops hawaiensis,NA,2020
Chaetodon ephippium,0,2020
Chaetodon auriga,-0.025,2020
Chaetodon semeion,0,2020
Chaetodon lineolatus,0,2020
Chaetodon citrinellus,0,2020
Chaetodon trifascialis,-0.025,2020
Chaetodon quadrimaculatus,0,2020
Forcipiger longirostris,NA,2020
Hemitaurichthys thompsoni,0,2020
Chaetodon punctatofasciatus,0,2020
Chaetodon meyeri,NA,2020
Chaetodon kleinii,0,2020
Chaetodon bennetti,0,2020
Hemitaurichthys polylepis,0,2020
Chaetodon lunula,0,2020
Chaetodon ornatissimus,NA,2020
Chaetodon reticulatus,0,2020
Chaetodon lunulatus,-0.025,2020
Chaetodon ulietensis,0,2020
Forcipiger flavissimus,0,2020
Chaetodon unimaculatus,0,2020
Chaetodon vagabundus,0,2020
Heniochus acuminatus,0,2020
Euprotomicrus bispinatus,NA,2020
Alopias superciliosus,-0.025,2020
Carcharhinus amblyrhynchos,NA,2020
Prionace glauca,-0.025,2020
Alopias pelagicus,-0.025,2020
Aetobatus narinari,-0.025,2020
Carcharodon carcharias,-0.025,2020
Aetobatus ocellatus,-0.025,2020
Triaenodon obesus,NA,2020
Alopias vulpinus,-0.025,2020
Isurus paucus,-0.025,2020
Pseudocarcharias kamoharai,0.025,2020
Galeocerdo cuvier,-0.025,2020
Pteroplatytrygon violacea,NA,2020
Megachasma pelagios,NA,2020
Isurus oxyrinchus,-0.025,2020
Mobula alfredi,-0.025,2020
Carcharhinus falciformis,-0.025,2020
Mobula birostris,-0.025,2020
Rhincodon typus,-0.025,2020
Carcharhinus longimanus,-0.025,2020
Entomacrodus cymatobiotus,0,2020
Blenniella gibbifrons,0,2020
Cirripectes polyzona,0,2020
Aspidontus taeniatus,0,2020
Cirripectes variolosus,0,2020
Cirripectes auritus,0,2020
Enneapterygius tutuilae,NA,2020
Cirripectes jenningsi,0,2020
Blenniella paula,0,2020
Entomacrodus thalassinus,0,2020
Omobranchus obliquus,0,2020
Istiblennius edentulus,0,2020
Exallias brevis,0,2020
Cirripectes quagga,0,2020
Rhabdoblennius rhabdotrachelus,0,2020
Plagiotremus rhinorhynchos,0,2020
Plagiotremus tapeinosoma,0,2020
Entomacrodus striatus,0,2020
Ecsenius midas,0,2020
Petroscirtes xestus,0,2020
Conus planorbis,NA,2020
Conus miles,NA,2020
Conus coronatus,NA,2020
Conus lividus,NA,2020
Conus pertusus,NA,2020
Conus ebraeus,NA,2020
Conus auricomus,NA,2020
Conus acutangulus,NA,2020
Conus bullatus,NA,2020
Conus sanguinolentus,NA,2020
Conus bandanus,NA,2020
Conus coffeae,NA,2020
